cidade,codestacao,datahora,id_sensor,latitude,longitude,nome,offset,qualificacao,uf,valor
RECIFE,261160609A,2025-11-01 21:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160614A,2025-11-01 22:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160618A,2025-11-01 22:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160609A,2025-11-01 22:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160614A,2025-11-01 23:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160618A,2025-11-01 23:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160609A,2025-11-01 23:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160618A,2025-11-02 00:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160614A,2025-11-02 00:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160609A,2025-11-02 00:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160618A,2025-11-02 01:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160614A,2025-11-02 01:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160609A,2025-11-02 01:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160618A,2025-11-02 02:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160614A,2025-11-02 02:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160609A,2025-11-02 02:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160618A,2025-11-02 03:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160614A,2025-11-02 03:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160609A,2025-11-02 03:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160618A,2025-11-02 04:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160614A,2025-11-02 04:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160609A,2025-11-02 04:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160618A,2025-11-02 05:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160614A,2025-11-02 05:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160609A,2025-11-02 05:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160614A,2025-11-02 06:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160609A,2025-11-02 06:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160618A,2025-11-02 06:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160618A,2025-11-02 07:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160614A,2025-11-02 07:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160609A,2025-11-02 07:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160618A,2025-11-02 08:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160614A,2025-11-02 08:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160609A,2025-11-02 08:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160609A,2025-11-02 09:40:00,10,-8.120975,-34.913983,Imbiribeira,,0000,PE,0.0
RECIFE,261160609A,2025-11-02 10:40:00,10,-8.120975,-34.913983,Imbiribeira,,0000,PE,0.0
RECIFE,261160609A,2025-11-02 11:40:00,10,-8.120975,-34.913983,Imbiribeira,,0000,PE,0.0
RECIFE,261160618A,2025-11-02 09:00:00,10,-8.037,-34.884,Torreão,,0000,PE,0.0
RECIFE,261160618A,2025-11-02 10:00:00,10,-8.037,-34.884,Torreão,,0000,PE,0.0
RECIFE,261160618A,2025-11-02 11:00:00,10,-8.037,-34.884,Torreão,,0000,PE,0.0
RECIFE,261160618A,2025-11-02 12:00:00,10,-8.037,-34.884,Torreão,,0000,PE,0.0
